SKU,URL,Product_Name,Variation_name
1549093141, https://shopee.co.id/Enfamil Pregestimil Susu Formula Bayi dengan Alergi Susu Sapi 800g-i.2861486.1549093141, Enfamil Pregestimil Susu Formula Bayi dengan Alergi Susu Sapi 800g, 
1690496507, https://shopee.co.id/Nestle Nan PHPRO 1 Susu Formula NAN PH Pro 1 Usia 0 6Bulan Kaleng 800g Berkualitas-i.72818550.1690496507, Nestle Nan PHPRO 1 Susu Formula NAN PH Pro 1 Usia 0 6Bulan Kaleng 800g Berkualitas, 
1415362497, https://shopee.co.id/Morinaga Chil Mil Platinum Susu Formula Lanjutan Tin 800G \U002F 800 G Best Quality-i.73423766.1415362497, Morinaga Chil Mil Platinum Susu Formula Lanjutan Tin 800G \U002F 800 G Best Quality, 
1389956551, https://shopee.co.id/(S) [ Laris ] [FW] # IBU DAN BAYI nutribaby royal allerpre 2 400 gram | Susu Formula-i.22496806.1389956551, (S) [ Laris ] [FW] # IBU DAN BAYI nutribaby royal allerpre 2 400 gram | Susu Formula, 
600059482, https://shopee.co.id/Susu formula umur 1 tahun ke atas alergi susu sapi ISOMIL PLUS ADVANCE-i.11075919.600059482, Susu formula umur 1 tahun ke atas alergi susu sapi ISOMIL PLUS ADVANCE, 
95498339, https://shopee.co.id/Susu formula anak usia di atas 3 tahun tinggi nutrisi CHILSCHOOL PLATINUM VANILA-i.11075919.95498339, Susu formula anak usia di atas 3 tahun tinggi nutrisi CHILSCHOOL PLATINUM VANILA, 
1667724018, https://shopee.co.id/Enfamil Nutramigen Susu Formula Hipoalergenik Alergi Susu Sapi 800g-i.59345325.1667724018, Enfamil Nutramigen Susu Formula Hipoalergenik Alergi Susu Sapi 800g, 
1690517152, https://shopee.co.id/Hari Ini Frisolac Gold 1 Susu Formula Bayi 06Bulan Frisio Kaleng Plain 400Gr Limited-i.95096890.1690517152, Hari Ini Frisolac Gold 1 Susu Formula Bayi 06Bulan Frisio Kaleng Plain 400Gr Limited, 
1682612226, https://shopee.co.id/Susu formula Alergi Susu Sapi Pregestimil Hipoalergenik-i.86052620.1682612226, Susu formula Alergi Susu Sapi Pregestimil Hipoalergenik, 
1661329600, 2018-12-06 21:35:59, MORINAGA CHIL MIL PHP Susu Formula Lanjutan Tin 800g  Kemasan p, null
